"VI name";;"string type";;"Key";;"English";;"Russian"
"custom_picktime.vi";;"Front Panel";;"November";;"November";;"(טי)November"
"custom_picktime.vi";;"Front Panel";;"December";;"December";;"(טי)December"
"custom_picktime.vi";;"Front Panel";;"Mon";;"Mon";;"ןמם"
"custom_picktime.vi";;"Front Panel";;"Tue";;"Tue";;"געמ"
"custom_picktime.vi";;"Front Panel";;"Wed";;"Wed";;"סנו"
"custom_picktime.vi";;"Front Panel";;"Thu";;"Thu";;"קוע"
"custom_picktime.vi";;"Front Panel";;"Fri";;"Fri";;"ןÿע"
"custom_picktime.vi";;"Front Panel";;"Sat";;"Sat";;"סףב"
"custom_picktime.vi";;"Front Panel";;"Sun";;"Sun";;"גמס"
"database_password_prompt.vi";;"Front Panel";;"Cancel.BoolText";;"Cancel";;"(טי)Cancel"
"LOGIN_scan_barcode.vi";;"Front Panel";;"waiting_for_barcode_scan_msg";;"Waiting for barcode scan...";;"(טי)Waiting for barcode scan..."
"LOGIN_scan_barcode.vi";;"Front Panel";;"cancel_barcode_scan.BoolText";;"CANCEL";;"(טי)CANCEL"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Error in connection to PLC Proxy Application.\nReference change not possible until connection is restored.";;"Error in connection to PLC Proxy Application.\nReference change not possible until connection is restored.";;"(טי)Error in connection to PLC Proxy Application.\nReference change not possible until connection is restored."
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"OK";;"OK";;"(טי)OK"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"COLUMN NAMES READ";;"COLUMN NAMES READ";;"(טי)COLUMN NAMES READ"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"STATION NUMBERS READ";;"STATION NUMBERS READ";;"(טי)STATION NUMBERS READ"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"SELECT STATION RECORDS";;"SELECT STATION RECORDS";;"(טי)SELECT STATION RECORDS"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"INSERT RECORD";;"INSERT RECORD";;"(טי)INSERT RECORD"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"UPDATE RECORD";;"UPDATE RECORD";;"(טי)UPDATE RECORD"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Record that is not synchronised with database can not be deleted";;"Record that is not synchronised with database can not be deleted";;"(טי)Record that is not synchronised with database can not be deleted"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"DELETE RECORD";;"DELETE RECORD";;"(טי)DELETE RECORD"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"UPDATE BARCODE - NEW CODE: %s - HASH: %s";;"UPDATE BARCODE - NEW CODE: %s - HASH: %s";;"(טי)UPDATE BARCODE - NEW CODE: %s - HASH: %s"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Login";;"Login";;"(טי)Login"
